Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
16;1000016;2НДФЛ;Ремонт;1;0.26;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;18;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000036;Форма банка (без печати работодателя);Обучение;1;0.45;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;61;43;Торговля;ООО;холост / не замужем;2;1;0;0;0;0.1728395062;1;2;1;0;0.5833333333;8;4;268;12;6;0;2;99;1;0;0;0;0;0;0
16;1000056;Форма банка (без печати работодателя);Покупка автомобиля;1;0.23;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000076;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.56;мужской;2;0;второе высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000096;2НДФЛ;Ремонт;0;0.25;мужской;1;0;высшее;менеджер среднего звена;>250;3;132;37;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000116;Поступление зарплаты на счет;Отпуск;1;0.28;мужской;1;0;среднее-специальное;рабочий;>250;0;9;32;Другое;ОАО;женат / замужем;4;4;1;1;0;0.1111111111;0;1;0;0;0.2;1;4;48;5;1;0;4;84;1;0;0;0;0;0;0
16;1000136;Форма банка (без печати работодателя);Обучение;0;0.26;женский;1;0;высшее;менеджер высшего звена;< 50;0;87;46;Торговля;ООО;холост / не замужем;5;5;3;3;3;0.0416666667;1;0;0;0;0;0;3;46;3;0;1;33;74;1;0;0;0;0;0;0
16;1000156;Форма банка (без печати работодателя);Другое;0;0.11;мужской;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000176;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;90;44;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;1;3;0;35;3;2;0;16;16;0;0;0;0;0;0;0
16;1000196;Поступление зарплаты на счет;Ремонт;0;0.4;женский;0;0;высшее;торговый представитель;>250;0;12;26;Торговля;Иная форма;холост / не замужем;0;0;0;0;0;0;0;1;0;0;0.6666666667;2;1;15;3;1;0;3;41;0;0;0;0;0;0;0
16;1000216;Поступление зарплаты на счет;Ремонт;1;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;17;42;Торговля;ООО;холост / не замужем;1;1;1;1;1;0;0;1;0;0;1;4;0;27;4;3;0;5;20;0;0;0;0;0;0;0
16;1000236;Форма банка (без печати работодателя);Ремонт;1;0.29;мужской;0;0;среднее-специальное;рабочий;>250;0;21;51;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000256;Форма банка (без печати работодателя);Покупка автомобиля;0;0.35;женский;2;0;высшее;менеджер среднего звена;>250;0;112;33;Торговля;ООО;разведен / разведена;0;0;0;0;0;0;1;0;0;0;0;0;2;29;2;0;1;6;26;0;0;0;0;0;0;0
16;1000276;2НДФЛ;Ремонт;0;0.46;мужской;1;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000296;Свободная форма с печатью работодателя;Ремонт;0;0.55;женский;0;0;высшее;специалист;< 50;1;38;42;Другое;ООО;женат / замужем;0;0;0;0;0;0.3493150685;0;1;0;0;0.5;3;3;95;6;3;2;3;71;1;1;1;1;1;0;0
16;1000316;Поступление зарплаты на счет;Ремонт;1;0.53;женский;1;0;среднее-специальное;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000336;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.42;женский;1;0;высшее;рабочий;< 50;3;30;33;Торговля;ООО;женат / замужем;4;4;4;3;3;0;0;0;0;0;0;0;1;7;1;0;0;8;8;0;0;0;0;0;0;0
16;1000356;Поступление зарплаты на счет;Отпуск;1;0.24;мужской;0;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000376;2НДФЛ;Покупка автомобиля;1;0.37;мужской;0;0;высшее;специалист;>250;0;69;31;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000396;Форма банка (без печати работодателя);Ремонт;1;0.42;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;139;28;Другое;ОАО;холост / не замужем;0;0;0;0;0;0.2204724409;0;0;0;0;0.5;2;2;99;4;1;2;26;78;1;0;0;0;0;0;0
16;1000416;Форма банка (без печати работодателя);Ремонт;0;0.31;мужской;0;0;высшее;специалист;>250;0;45;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
