index;factor_1;factor_2
0,8348389;0,148464243;-0,388791414
0,665558886;-0,211966548;-0,075889512
0,661383493;-0,274939213;0,294381421
0,424444687;1,087698642;-0,62791854
0,257676699;0,379127131;-0,560181411
0,125200825;0,169018311;-0,318886454
0,667376417;0,024316831;-0,856300861
0,253299029;0,086261084;-0,690052518
-0,041037719;0,282609732;-0,616050486
0,051967836;0,2455374;-0,181131069
0,240390064;0,065596401;-0,617910405
-0,034394316;-0,262491375;-0,229449832
0,158765725;0,128657848;-0,204073892
0,34599606;0,078148928;-0,700658399
-0,142899812;0,746581634;-0,345171189
0,111061729;-0,323985881;-0,377659381
-0,200026045;0,132441539;-0,538760504
-0,086730835;-0,230255002;-0,330822207
0,477923372;0,123347934;-0,501020935
0,185548064;0,130600873;-0,52782249
-0,002299284;-0,030570081;-0,225843955
0,160093385;0,100666749;-0,392364407
0,275854112;-0,442226967;-0,176641675
0,049693812;-0,127443257;-0,287567408
0,043296471;-0,297272678;0,025247198
0,122509775;-0,253721304;0,69032324
-0,101448575;-0,435629643;-0,274657934
0,085077397;-0,080184558;-0,454523795
0,083566581;-0,201515816;0,101409629
-0,014438196;-0,224203374;-0,222827179
-0,201669408;0,148588625;-0,050240828
-0,282256029;-0,13457426;-0,618707861
-0,012423901;-0,300046015;-0,353809593
-0,096665832;0,324525566;-0,275858181
0,086871191;-0,473710508;0,121976505
-0,183475815;-0,455440256;0,07703262
-0,024307093;-0,231352955;-0,236100639
-0,039870774;-0,175833873;-0,250022292
-0,127773884;-0,3322634;-0,31945496
-0,082536697;-0,214643513;-0,54367131
-0,144643707;-0,088154563;-0,036975196
-0,208033176;0,07638099;-0,638509212
0,202774428;-0,002776444;0,508907501
-0,021906394;-0,192983243;-0,319992094
0,097620583;-0,483055625;-0,091144989
-0,377887855;0,084483891;-0,542834589
-0,139443136;-0,042708913;-0,018792019
-0,514123508;0,003881316;-0,47194301
-0,298627228;-0,141254913;-0,438398731
-0,01372367;-0,195204296;0,220023061
-0,096408213;-0,265262113;-0,430593557
-0,159773099;-0,211481293;-0,138785474
-0,27608039;0,172964174;-0,379921864
-0,191302037;-0,214593442;0,074271334
-0,169996516;-0,295633279;-0,422639282
-0,412858125;0,040720192;-0,317022356
-0,20038447;-0,000824797;-0,537326944
-0,165777047;-0,280569889;-0,664967456
-0,386796527;-0,403606639;-0,237437704
-0,279058193;-0,114601154;0,257893125
-0,256642423;-0,277651931;-0,819577565
-0,391682552;0,345495654;-0,257213286
-0,387331888;-0,190625954;-0,158674549
-0,218828564;-0,546985562;0,104634369
-0,472338702;-0,433137731;-0,321438694
-0,252275913;-0,420621371;1,063441103
-0,220518868;-0,254623495;0,14065258
-0,379727462;-0,259317918;0,054586128
-0,416753571;-0,248599342;-0,442412926
-0,20326848;-0,271637468;-0,10615345
-0,276777967;-0,208488771;-0,691262299
-0,690116572;-0,362101517;-0,125343475
-0,479636856;-0,31022451;0,153967494
-0,323336315;-0,470401474;1,200820779
-0,73352233;-0,281120707;0,50685012
-0,381630033;0,067143399;-0,485764687
-0,806196301;-0,463615439;0,432721832
