;basket;social;income;population;sme;invest;area;employ
Красноярск;102358,5973;302 971 611,1;77 049 720,7;1 094 548;552,7;48336,4;24,6;35,7
Ачинск;102807,1478;19 108 436,5;9 467 999,5;106 798;310,6;19085,0;24,4;18,3
Канск;97641,29192;12 331 925,8;8 599 653,5;88 917;285,4;2509,2;23,5;25,7
Минусинкс;99319,80842;11 447 786,2;8 403 537,9;70 821;362,1;3868,1;29,0;18,4
Назарово ;;8 466 886,9;5 763 020,8;49787;272,7;21425,7;25,8;19,4
Сосновоборск;;3 454 268,4;3 418 557,6;40847;292,2;8956,0;24,0;24,0
Боготол;;3 891 590,3;2 357 714,4;19697;222,8;3672,4;26,5;14,4
Бородино ;;3 008 082,2;1 498 677,1;16058;247,0;72299,9;27,5;12,0
Дивногорск;;4 178 751,4;2 711 544,4;33440;308,1;15423,4;27,2;21,1
Шарыпово ;;8 721 436,9;4 778 413,1;46084;316,0;3061,9;26,1;26,8
