index;applied;develop;grants;avrg;inn_activity;doctors;nurses;tech_innovations;beds
,240390063924078;52287;0;111500;10,5;14,1304347826087;,185834671593613;,310977672984687;14195,5991;,639142367619651
,185548063576261;53821,2;18381,3;75392,4;10,6;17,0974155069582;,263111169198109;,32802912107542;12725,1162;,730864358883635
-,0144381959466638;34420,6;0;31028,7;11,4;8,54700854700855;,317782806753483;,380940477551769;9316,6546;1,42935781280332
,41632012055325;0;0;0;11,6;2,60869565217391;3,07027518762793;4,32112804184671;26,8585;,913100399434511
-,0243070926891648;1860;0;32322;11,9;13,0061349693252;,436088127977917;,521250119300203;7249,7788;,697447342725624
-,218828564474198;0;0;2809,4;12,6;5,83153347732181;,673669895455247;,585526170816242;685,3478;1,25919606627149
-,514123508343347;116199,6;1067;99935,6;11;15,3956834532374;,222367217308686;,186668031551198;4338,4301;1,03226561226469
,345996059701927;253248,8;0;263445,3;10,9;13,1928181108509;,114521873558804;,171425673518376;19588,4335;,28570945586396
,0835665810469722;29563,1;11825,2;71843,7;12,1;14,1779788838612;,46239517517296;,625546656946552;4717,1648;1,62355620886891
-,200026045459732;56898,1;5482,9;110246,2;11,3;16,6370106761566;,0950717950505623;,107748034390637;28327,0283;,798026885727448
,125200824648978;66577,4;7755,2;211262,5;11,5;11,1284046692607;,155741531771969;,229257109409297;61568,1521;1,14280139644756
-,0137236702764966;0;1300;28850;11,9;17,6056338028169;,7937807694493;1,13803095577889;2826,0298;1,00267044562017
-,0867308353631346;300080;0;170660,3;12,7;8,73080032336297;,193779186945965;,156192706719377;26776,2569;,58467858130248
,262490641264453;144388;509102,6;1295871;12;18,1147540983607;,116866664485156;,148342752786491;95618,0953;,913118205177349
,0496938123027201;7951,3;0;47735,9;10,8;11,6483516483516;,514280343211634;,605588602580801;6516,2708;,913082593691674
,66737641690066;67686,4;2758;83989,1;9,9;8,89411764705882;,0664094126158103;,0655263087246426;11575,5286;,664094126158102
,0519678360076957;1629581,1;8148,4;210109,4;11,8;12,4223602484472;,124364025122028;,137220743424901;29251,8426;1,3128687343896
-,412858124547854;3724,1;8820;63509,9;10,2;16,414686825054;,63694187180189;,716401946897967;2681,1918;,756762619962641
,27585411240232;0;0;83180,4;12,2;7,11111111111111;,344468500986252;,603564405186286;702,9638;,843798921724248
,477923372036482;78523,1;39562,7;120734;11,3;18,1518151815182;,299040744462902;,384942297407969;20703,1634;,19376290137985
,160093384852406;193219,1;0;29703,1;10,7;16,6193181818182;,329033040483987;,262431186367893;10401,3478;1,20280960418617
-,256642422714596;47864;0;26936,8;10,3;2,24;,0926257030839518;,135227071749741;672,4478;,580927754533496
,043296470831797;7048,3;0;30380,8;12,1;10,6086956521739;,470101314102797;,58156863600346;8112,2952;1,45392159000865
-,472338702376959;434;0;40429,8;12,1;6,80473372781065;,348363049141534;,563677820039508;4263,9886;,406254284713159
-,142899811886163;498214,8;330379,6;2398521,3;10,3;10,1610216546363;,160957043426568;,186710170374819;8121,5819;,643828173706272
-,80619630063435;0;0;6838,5;10,8;1,98019801980198;1,19667508430423;1,16905950543567;21,5878;1,99445847384038
-,377887854610307;131747,9;25,2;87809;10,9;9,52879581151833;,324475697906925;,374077078478684;50311,2652;,289341386668596
,0850773973249469;318,2;4,5;26526,7;11,8;15,3605015673981;,238374651606278;,335490250408836;18717,7371;,407478036933809
-,38679652691417;15769,1;23;8810;11,4;5,55555555555556;,502473789499239;,710426425228324;1106,7365;,724540857517629
,202774427915495;0;0;48941,8;9,9;12,6050420168067;1,01305541547599;,847201210287443;83,3109;3,3843222950636
-,0964082133139778;941,3;0;57751,7;11;8,24324324324324;,400388184285558;,589297849522585;2164,5777;,501530084700072
-,561015435134452;0;0;0;12;7,2463768115942;3,51959977122601;4,14181473078204;77,9977;2,26259985293101
